2020-09-29 23:53:16,"b""#blm I can't breathe shirt and more \n\nhttps://t.co/5TgEp5Lv1m https://t.co/DM5NudaReT""",,#blm -filter:retweets
2020-09-29 23:53:08,"b'""Slavery was a necessary evil.""\n\xe2\x80\x94 Senator Tom Cotton\n\n#Vote2020 #BLM'",,#blm -filter:retweets
2020-09-29 23:52:48,b'@blaggerchris Racism! I knew this would happen. Typical because he is white. #BLM',,#blm -filter:retweets
2020-09-29 23:52:46,b'@thehill Good. Sick of opening pages and seeing terrorism #BLM  and #antifa  BS',,#blm -filter:retweets
2020-09-29 23:52:36,"b""If you're planning on subjecting yourself to the farce we call democracy tonight, watch for how they frame #BLM as\xe2\x80\xa6 https://t.co/CTWAucTxp8""",,#blm -filter:retweets
2020-09-29 23:52:25,"b'@nytimes But what the black community is totally unaware of, is that @JoeBiden is a racist to the bone. He said: ""I\xe2\x80\xa6 https://t.co/ePNvT2UtKy'",,#blm -filter:retweets
2020-09-29 23:52:01,"b""@realDonaldTrump:\nPlease don't screw this up.\n@JoeBiden is a senile doofus, and if he and his harpy of a running ma\xe2\x80\xa6 https://t.co/c9RyzvhKtQ""",,#blm -filter:retweets
2020-09-29 23:51:55,"b""Ouch... I've been banned here for 12 hours.  Only followers can see me.   Truth hurts, I guess.\nI'll try to cus les\xe2\x80\xa6 https://t.co/BjSoipfIIH""",,#blm -filter:retweets
2020-09-29 23:51:48,b'Got hit in the nuts again today. This time my theyfriend accidentally  dropped a bowling ball (child size) on my bi\xe2\x80\xa6 https://t.co/UzZBwq1m8y',,#blm -filter:retweets
2020-09-29 23:51:48,b'@henrykleeKTVU @KTVU @SanBrunoPolice @DalyCityPD @BroadmoorPolice #BLM poster child',,#blm -filter:retweets
2020-09-29 23:51:43,b'@markw24 RACISM AT ITS FINEST! #BLM',,#blm -filter:retweets
2020-09-29 23:51:39,b'@blumfx WHOO WEEE FUCK YEAH #BRUHMEN2020 #BLM #WhiteSupremacy',,#blm -filter:retweets
2020-09-29 23:51:37,b'The East Bay &amp; Oakland chapters of the Brown Berets National Organization at @VacaVibe\xe2\x80\x99s last Sunday protest. If y\xe2\x80\x99\xe2\x80\xa6 https://t.co/dOZx93PAF6',,#blm -filter:retweets
2020-09-29 23:51:33,b'Chicagoans Blast Black Lives Matter: \xe2\x80\x98Not an Authentic Black Movement.\xe2\x80\x99 @Kohls has messed up. I stand with black pe\xe2\x80\xa6 https://t.co/HvD9KFXFIq',,#blm -filter:retweets
2020-09-29 23:51:23,b'@wqad Smart man.... #BLM is a terror group',,#blm -filter:retweets
2020-09-29 23:50:34,b'@realDonaldTrump @tedcruz Ok. sit back. 1A is great. Speech. Includes journalists so they are not the enemy of the\xe2\x80\xa6 https://t.co/HAZtHyWbpN',,#blm -filter:retweets
2020-09-29 23:50:02,"b'""We are told that the criminal justice system is blind to black and white, it\xe2\x80\x99s color blind, and then here we can s\xe2\x80\xa6 https://t.co/6DIG42It22'",,#blm -filter:retweets
2020-09-29 23:49:56,"b'Yo, yo, yo... Yo-Dot!!  :)  Here is the link! Thank you so much for coming on the #ESHpodcast. It is definitely a p\xe2\x80\xa6 https://t.co/NDFFd8jsb9'",,#blm -filter:retweets
2020-09-29 23:49:49,b'Undocumented immigrants have paid more in taxes than Trump. The very people Trump vilifies as TAKERS have contribut\xe2\x80\xa6 https://t.co/uwx0Qbotr4',,#blm -filter:retweets
2020-09-29 23:49:31,b'Enter for a chance to win 45+ books featuring Black stories from your favorite bestselling and award-winning author\xe2\x80\xa6 https://t.co/YMzS4RLVau',,#blm -filter:retweets
2020-09-29 23:49:26,"b'Finally, a US Supercarrier named after the first enlisted sailor and first African American War Hero #BLM  https://t.co/VYbbfxgrkX'",,#blm -filter:retweets
2020-09-29 23:49:26,b'@blumfx @afuckinwytbear #BLM #WhiteSupremacy crackers taste goodd',,#blm -filter:retweets
2020-09-29 23:49:20,b'Want to find out more about the Black Voters Matter Fund?  https://t.co/C5PpAJ6VNE #BLM',,#blm -filter:retweets
2020-09-29 23:48:53,b'Tuesday Apex!! Day 129!!! #BeardGang ||!coffee|| ||!energy|| ||#BLM||\xf0\x9f\x8e\xae https://t.co/pxmi8q59xp',,#blm -filter:retweets
